comparison,comparison_raw,metric,metric_label,metric_raw,p_adjustment,significance_frequency,median_effect_size_r,effect_size_r_ci95_lower,effect_size_r_ci95_upper,n_bootstrap_replicates
SSdF–DOF,FES - FOD,FHD,Foliage height diversity (FHD),fhd_normal,Bonferroni,0.934,0.3875946762516129,0.19774549924172066,0.560282591438621,2000
SSdF–DOF,FES - FOD,FHD,Foliage height diversity (FHD),fhd_normal,FDR,0.972,0.3875946762516129,0.19774549924172066,0.560282591438621,2000
SDF–MOF,FED - FOM,FHD,Foliage height diversity (FHD),fhd_normal,Bonferroni,0.713,0.2891152698886743,0.1325596634574209,0.43740354733168313,2000
SDF–MOF,FED - FOM,FHD,Foliage height diversity (FHD),fhd_normal,FDR,0.875,0.2891152698886743,0.1325596634574209,0.43740354733168313,2000
DOF–MOF,FOD - FOM,FHD,Foliage height diversity (FHD),fhd_normal,Bonferroni,0.4575,0.23831420801804173,0.06630918409481143,0.4130695523765099,2000
DOF–MOF,FOD - FOM,FHD,Foliage height diversity (FHD),fhd_normal,FDR,0.6685,0.23831420801804173,0.06630918409481143,0.4130695523765099,2000
SSdF–MOF,FES - FOM,FHD,Foliage height diversity (FHD),fhd_normal,Bonferroni,0.1145,0.14901281734113503,0.009309199591383039,0.30773737958596903,2000
SSdF–MOF,FES - FOM,FHD,Foliage height diversity (FHD),fhd_normal,FDR,0.293,0.14901281734113503,0.009309199591383039,0.30773737958596903,2000
SDF–DOF,FED - FOD,FHD,Foliage height diversity (FHD),fhd_normal,Bonferroni,0.018,0.0704171140802372,0.0035906947930731694,0.23846773121389503,2000
SDF–DOF,FED - FOD,FHD,Foliage height diversity (FHD),fhd_normal,FDR,0.0655,0.0704171140802372,0.0035906947930731694,0.23846773121389503,2000
SSdF–DOF,FES - FOD,PAI,"Plant area index (PAI, m^2 m^-2)",pai,Bonferroni,0.96,0.42070756191777203,0.23098021228096866,0.5996581912853496,2000
SSdF–DOF,FES - FOD,PAI,"Plant area index (PAI, m^2 m^-2)",pai,FDR,0.9755,0.42070756191777203,0.23098021228096866,0.5996581912853496,2000
