metric,metric_label,metric_raw,npar,Sum Sq,Mean Sq,F_value
H,"Canopy height (H, m)",altura_dossel,3,1636.8816683614511,545.6272227871503,12.714558488494216
AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,3,383043.21449543134,127681.07149847712,16.243165435524634
PAI,"Plant area index (PAI, m^2 m^-2)",pai,3,85.69121181698556,28.56373727232852,16.12529815450207
COVER,"Canopy cover (COVER, %)",cover,3,18932.017501766855,6310.672500588952,13.525267171440621
FHD,Foliage height diversity (FHD),fhd_normal,3,3.5997214232261854,1.1999071410753952,12.568659468880696
