physiognomy,physiognomy_name,physiognomy_raw,n_polygons,area_km2,mean_area_km2,median_area_km2
DOF,Dense Ombrophilous Forest (DOF),FOD,152,2353.4383794297655,2353.4383794297655,2353.4383794297655
MOF,Mixed Ombrophilous Forest (MOF),FOM,61,439.90670549607586,439.90670549607586,439.90670549607586
SSdF,Seasonal Semideciduous Forest (SSdF),FES,122,752.2237651743046,752.2237651743046,752.2237651743046
SDF,Seasonal Deciduous Forest (SDF),FED,62,151.03035858791827,151.03035858791827,151.03035858791827
TOTAL,TOTAL,TOTAL,397,3696.599208688064,9.311333019365401,1.266247873755643
