scenario,median_delta_epsilon_squared,min_delta_epsilon_squared,max_delta_epsilon_squared,n_metrics
S0_no_qc,0.005633699398879588,-7.129731077906432e-4,0.013352637366100817,5
S1_baseline,0,0,0,5
S_agbd_low_uncert,-0.0019440037802282983,-0.010752273061818446,0.017929024172520985,5
S_night_only,-0.015966414241827667,-0.02667151870749422,6.857916078366055e-4,5
S_sens080,0.003916437379245796,3.0896293381540985e-4,0.0059786505003778245,5
S_sens090,0.003916437379245796,3.0896293381540985e-4,0.0059786505003778245,5
S_sens095,0.0051589690947856925,-9.112821656142578e-4,0.010225606314306773,5
S_sens099,-0.011078875217971684,-0.01851951958112609,-0.009061937370472117,5
S_strong_beams,0.01497479587577763,-0.00827975580396606,0.015689808100356722,5
