scenario,metric,metric_label,comparison,adjustment,median_r,proportion_significant
S_sens090,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–DOF,Bonferroni,0.42400200853647874,0.968
S_sens095,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–DOF,Bonferroni,0.443359902708382,0.98
S_sens099,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–DOF,Bonferroni,0.34886142755874117,0.698
S_strong_beams,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–DOF,Bonferroni,0.39508462374972153,0.926
S0_no_qc,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–MOF,Bonferroni,0.08763869770294244,0.028
S1_baseline,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–MOF,Bonferroni,0.06874954340341091,0.013
S_agbd_low_uncert,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–MOF,Bonferroni,0.08376663686535178,0.024
S_night_only,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–MOF,Bonferroni,0.0894131831268741,0.036
S_sens080,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–MOF,Bonferroni,0.06998949640845957,0.01
S_sens090,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–MOF,Bonferroni,0.06998949640845957,0.01
S_sens095,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–MOF,Bonferroni,0.06764726568130504,0.01
S_sens099,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–MOF,Bonferroni,0.06880173873536866,0
S_strong_beams,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SSdF–MOF,Bonferroni,0.06014888606340057,0.004
S0_no_qc,COVER,"Canopy cover (COVER, %)",DOF–MOF,Bonferroni,0.3350641759746803,0.844
S1_baseline,COVER,"Canopy cover (COVER, %)",DOF–MOF,Bonferroni,0.34746712205711616,0.853
S_agbd_low_uncert,COVER,"Canopy cover (COVER, %)",DOF–MOF,Bonferroni,0.3181417419361853,0.776
S_night_only,COVER,"Canopy cover (COVER, %)",DOF–MOF,Bonferroni,0.3249829891860416,0.782
S_sens080,COVER,"Canopy cover (COVER, %)",DOF–MOF,Bonferroni,0.35841937635866783,0.848
S_sens090,COVER,"Canopy cover (COVER, %)",DOF–MOF,Bonferroni,0.35841937635866783,0.848
S_sens095,COVER,"Canopy cover (COVER, %)",DOF–MOF,Bonferroni,0.36324336175386485,0.862
S_sens099,COVER,"Canopy cover (COVER, %)",DOF–MOF,Bonferroni,0.316073186474782,0.568
S_strong_beams,COVER,"Canopy cover (COVER, %)",DOF–MOF,Bonferroni,0.40387373695255135,0.962
S0_no_qc,COVER,"Canopy cover (COVER, %)",SDF–DOF,Bonferroni,0.3587349237490779,0.876
S1_baseline,COVER,"Canopy cover (COVER, %)",SDF–DOF,Bonferroni,0.3374102638950317,0.858
S_agbd_low_uncert,COVER,"Canopy cover (COVER, %)",SDF–DOF,Bonferroni,0.34842089591213776,0.832
S_night_only,COVER,"Canopy cover (COVER, %)",SDF–DOF,Bonferroni,0.2403113528524658,0.434
S_sens080,COVER,"Canopy cover (COVER, %)",SDF–DOF,Bonferroni,0.34243904084893084,0.868
S_sens090,COVER,"Canopy cover (COVER, %)",SDF–DOF,Bonferroni,0.34243904084893084,0.868
S_sens095,COVER,"Canopy cover (COVER, %)",SDF–DOF,Bonferroni,0.30778915298388265,0.748
S_sens099,COVER,"Canopy cover (COVER, %)",SDF–DOF,Bonferroni,0.19142509610915448,0.17
S_strong_beams,COVER,"Canopy cover (COVER, %)",SDF–DOF,Bonferroni,0.345800566486123,0.85
S0_no_qc,COVER,"Canopy cover (COVER, %)",SDF–MOF,Bonferroni,0.059844611084130556,0.006
S1_baseline,COVER,"Canopy cover (COVER, %)",SDF–MOF,Bonferroni,0.05510971467877704,0.002
S_agbd_low_uncert,COVER,"Canopy cover (COVER, %)",SDF–MOF,Bonferroni,0.06312869328090052,0
S_night_only,COVER,"Canopy cover (COVER, %)",SDF–MOF,Bonferroni,0.09385741201156547,0.02
S_sens080,COVER,"Canopy cover (COVER, %)",SDF–MOF,Bonferroni,0.053249925162986426,0.002
S_sens090,COVER,"Canopy cover (COVER, %)",SDF–MOF,Bonferroni,0.053249925162986426,0.002
S_sens095,COVER,"Canopy cover (COVER, %)",SDF–MOF,Bonferroni,0.06461623580627712,0.012
S_sens099,COVER,"Canopy cover (COVER, %)",SDF–MOF,Bonferroni,0.1258643499551969,0.046
S_strong_beams,COVER,"Canopy cover (COVER, %)",SDF–MOF,Bonferroni,0.06797749274821611,0.008
S0_no_qc,COVER,"Canopy cover (COVER, %)",SDF–SSdF,Bonferroni,0.06835571553268481,0.01
S1_baseline,COVER,"Canopy cover (COVER, %)",SDF–SSdF,Bonferroni,0.06454768387932068,0.007
S_agbd_low_uncert,COVER,"Canopy cover (COVER, %)",SDF–SSdF,Bonferroni,0.06469975145726353,0.012
S_night_only,COVER,"Canopy cover (COVER, %)",SDF–SSdF,Bonferroni,0.11089580474462074,0.058
S_sens080,COVER,"Canopy cover (COVER, %)",SDF–SSdF,Bonferroni,0.060207186500352707,0.008
S_sens090,COVER,"Canopy cover (COVER, %)",SDF–SSdF,Bonferroni,0.060207186500352707,0.008
S_sens095,COVER,"Canopy cover (COVER, %)",SDF–SSdF,Bonferroni,0.06592513682936971,0.01
S_sens099,COVER,"Canopy cover (COVER, %)",SDF–SSdF,Bonferroni,0.16377133023176932,0.086
S_strong_beams,COVER,"Canopy cover (COVER, %)",SDF–SSdF,Bonferroni,0.07436822782009025,0.01
S0_no_qc,COVER,"Canopy cover (COVER, %)",SSdF–DOF,Bonferroni,0.39869678457991975,0.936
