scenario,metric,metric_label,comparison,adjustment,median_r,proportion_significant
S_agbd_low_uncert,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–SSdF,Bonferroni,0.06548553078602727,0.012
S_night_only,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–SSdF,Bonferroni,0.1070442385189915,0.05
S_sens080,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–SSdF,Bonferroni,0.060758622088247644,0.008
S_sens090,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–SSdF,Bonferroni,0.060758622088247644,0.008
S_sens095,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–SSdF,Bonferroni,0.06564938627620909,0.012
S_sens099,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–SSdF,Bonferroni,0.17564278922645818,0.12
S_strong_beams,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–SSdF,Bonferroni,0.07197169782231072,0.01
S0_no_qc,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–DOF,Bonferroni,0.40215512446564494,0.936
S1_baseline,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–DOF,Bonferroni,0.3605550676742469,0.857
S_agbd_low_uncert,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–DOF,Bonferroni,0.3577751584399642,0.854
S_night_only,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–DOF,Bonferroni,0.3458720322080474,0.854
S_sens080,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–DOF,Bonferroni,0.3704063178809037,0.874
S_sens090,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–DOF,Bonferroni,0.3704063178809037,0.874
S_sens095,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–DOF,Bonferroni,0.36468878026123286,0.862
S_sens099,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–DOF,Bonferroni,0.3442716693648894,0.682
S_strong_beams,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–DOF,Bonferroni,0.36968167029831245,0.864
S0_no_qc,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–MOF,Bonferroni,0.07241172253385873,0.036
S1_baseline,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–MOF,Bonferroni,0.0662005802201679,0.01
S_agbd_low_uncert,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–MOF,Bonferroni,0.0716978358846927,0.004
S_night_only,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–MOF,Bonferroni,0.06756005119683905,0.01
S_sens080,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–MOF,Bonferroni,0.06399643816917727,0.008
S_sens090,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–MOF,Bonferroni,0.06399643816917727,0.008
S_sens095,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–MOF,Bonferroni,0.06282535983094167,0.008
S_sens099,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–MOF,Bonferroni,0.07702980846544909,0.004
S_strong_beams,PAI,"Plant area index (PAI, m^2 m^-2)",SSdF–MOF,Bonferroni,0.069175775525017,0.016
