variavel,n_polygons,moran_i,p_value,weights
altura_dossel,270,0.05580442598658512,0.003117437410578572,adaptive kNN
agbd,270,0.041515544051925854,0.015540468605750262,adaptive kNN
pai,270,0.03447275056327537,0.040036436882594714,adaptive kNN
cover,270,0.0387529485929109,0.024868732153140918,adaptive kNN
fhd_normal,270,0.07932878701428583,2.7719088989205558e-5,adaptive kNN
