variavel,comparacao,comparacao_en,ajuste,r_median,prop_sig,scenario
pai,FOD - FOM,DOF–MOF,FDR,0.33353489635055966,0.91,S0_no_qc
agbd,FED - FES,SDF–SSdF,Bonferroni,0.42138406180621046,0.975,S1_baseline
agbd,FED - FES,SDF–SSdF,FDR,0.42138406180621046,0.995,S1_baseline
agbd,FED - FOD,SDF–DOF,Bonferroni,0.06275617077408308,0.001,S1_baseline
agbd,FED - FOD,SDF–DOF,FDR,0.06275617077408308,0.032,S1_baseline
agbd,FED - FOM,SDF–MOF,Bonferroni,0.37033723321213174,0.9425,S1_baseline
agbd,FED - FOM,SDF–MOF,FDR,0.37033723321213174,0.987,S1_baseline
agbd,FES - FOD,SSdF–DOF,Bonferroni,0.41270166394012103,0.953,S1_baseline
agbd,FES - FOD,SSdF–DOF,FDR,0.41270166394012103,0.982,S1_baseline
agbd,FES - FOM,SSdF–MOF,Bonferroni,0.06874954340341091,0.013,S1_baseline
agbd,FES - FOM,SSdF–MOF,FDR,0.06874954340341091,0.05,S1_baseline
agbd,FOD - FOM,DOF–MOF,Bonferroni,0.36055607824965663,0.8885,S1_baseline
agbd,FOD - FOM,DOF–MOF,FDR,0.36055607824965663,0.9635,S1_baseline
altura_dossel,FED - FES,SDF–SSdF,Bonferroni,0.48041868122876474,0.9965,S1_baseline
altura_dossel,FED - FES,SDF–SSdF,FDR,0.48041868122876474,0.9985,S1_baseline
altura_dossel,FED - FOD,SDF–DOF,Bonferroni,0.1203461123801075,0.079,S1_baseline
altura_dossel,FED - FOD,SDF–DOF,FDR,0.1203461123801075,0.211,S1_baseline
altura_dossel,FED - FOM,SDF–MOF,Bonferroni,0.3828061108861761,0.951,S1_baseline
altura_dossel,FED - FOM,SDF–MOF,FDR,0.3828061108861761,0.9885,S1_baseline
altura_dossel,FES - FOD,SSdF–DOF,Bonferroni,0.3642756029796569,0.884,S1_baseline
altura_dossel,FES - FOD,SSdF–DOF,FDR,0.3642756029796569,0.95,S1_baseline
altura_dossel,FES - FOM,SSdF–MOF,Bonferroni,0.10036847401312013,0.0345,S1_baseline
altura_dossel,FES - FOM,SSdF–MOF,FDR,0.10036847401312013,0.1285,S1_baseline
altura_dossel,FOD - FOM,DOF–MOF,Bonferroni,0.26611181635441605,0.5705,S1_baseline
altura_dossel,FOD - FOM,DOF–MOF,FDR,0.26611181635441605,0.7695,S1_baseline
cover,FED - FES,SDF–SSdF,Bonferroni,0.06454768387932068,0.007,S1_baseline
cover,FED - FES,SDF–SSdF,FDR,0.06454768387932068,0.0265,S1_baseline
cover,FED - FOD,SDF–DOF,Bonferroni,0.3374102638950317,0.858,S1_baseline
cover,FED - FOD,SDF–DOF,FDR,0.3374102638950317,0.9245,S1_baseline
cover,FED - FOM,SDF–MOF,Bonferroni,0.05510971467877704,0.002,S1_baseline
cover,FED - FOM,SDF–MOF,FDR,0.05510971467877704,0.0125,S1_baseline
cover,FES - FOD,SSdF–DOF,Bonferroni,0.36000512408941904,0.8545,S1_baseline
cover,FES - FOD,SSdF–DOF,FDR,0.36000512408941904,0.9135,S1_baseline
cover,FES - FOM,SSdF–MOF,Bonferroni,0.06537382049126629,0.01,S1_baseline
cover,FES - FOM,SSdF–MOF,FDR,0.06537382049126629,0.035,S1_baseline
cover,FOD - FOM,DOF–MOF,Bonferroni,0.34746712205711616,0.853,S1_baseline
cover,FOD - FOM,DOF–MOF,FDR,0.34746712205711616,0.9155,S1_baseline
fhd_normal,FED - FES,SDF–SSdF,Bonferroni,0.4651951274883024,0.9925,S1_baseline
fhd_normal,FED - FES,SDF–SSdF,FDR,0.4651951274883024,0.9965,S1_baseline
fhd_normal,FED - FOD,SDF–DOF,Bonferroni,0.09623569887374943,0.0485,S1_baseline
fhd_normal,FED - FOD,SDF–DOF,FDR,0.09623569887374943,0.14,S1_baseline
fhd_normal,FED - FOM,SDF–MOF,Bonferroni,0.3624153093992066,0.926,S1_baseline
fhd_normal,FED - FOM,SDF–MOF,FDR,0.3624153093992066,0.978,S1_baseline
fhd_normal,FES - FOD,SSdF–DOF,Bonferroni,0.3753672967455416,0.9025,S1_baseline
fhd_normal,FES - FOD,SSdF–DOF,FDR,0.3753672967455416,0.9555,S1_baseline
fhd_normal,FES - FOM,SSdF–MOF,Bonferroni,0.10443324384336733,0.0455,S1_baseline
fhd_normal,FES - FOM,SSdF–MOF,FDR,0.10443324384336733,0.14,S1_baseline
fhd_normal,FOD - FOM,DOF–MOF,Bonferroni,0.27072723216247985,0.5935,S1_baseline
fhd_normal,FOD - FOM,DOF–MOF,FDR,0.27072723216247985,0.777,S1_baseline
pai,FED - FES,SDF–SSdF,Bonferroni,0.06530505547504291,0.007,S1_baseline
pai,FED - FES,SDF–SSdF,FDR,0.06530505547504291,0.027,S1_baseline
pai,FED - FOD,SDF–DOF,Bonferroni,0.3380315131930446,0.8635,S1_baseline
pai,FED - FOD,SDF–DOF,FDR,0.3380315131930446,0.9215,S1_baseline
pai,FED - FOM,SDF–MOF,Bonferroni,0.05490322931049988,0.0025,S1_baseline
pai,FED - FOM,SDF–MOF,FDR,0.05490322931049988,0.0125,S1_baseline
pai,FES - FOD,SSdF–DOF,Bonferroni,0.3605550676742469,0.857,S1_baseline
